id,status,category,content_type,search_intent,main_keyword,expanded_keywords,title,quality_score,duplicate_status,cannibalization_status
1,pass,러닝화 선택,blog,의사결정,러닝화 추천,"쿠셔닝|안정성|데일리|예산","러닝화 추천 기준, 쿠셔닝보다 먼저 볼 것",92,unique,clear
2,pass,러닝화 선택,blog,정보탐색,데일리 러닝화,"조깅|출퇴근|내구성|착화감","데일리 러닝화 고르는 법, 매일 신는 기준",91,unique,clear
3,pass,러닝화 선택,blog,의사결정,쿠션 러닝화,"장거리|무릎 부담|중창|회복주","쿠션 러닝화 추천 전 확인할 장단점",90,unique,clear
4,pass,러닝화 선택,blog,문제해결,가벼운 러닝화,"경량화|초보|5km|피로감","가벼운 러닝화가 맞는 사람과 피해야 할 사람",90,unique,clear
5,pass,발볼,blog,문제해결,발볼 러닝화,"와이드|2E|4E|앞코","발볼 러닝화 사이즈, 한 치수 크게 사도 될까",94,unique,clear
6,pass,발볼,blog,정보탐색,넓은 발 러닝화,"라스트|앞꿈치|물집|압박감","넓은 발 러닝화 선택법, 앞코와 라스트 기준",93,unique,clear
7,pass,발볼,blog,의사결정,와이드 러닝화,"뉴발란스|브룩스|호카|아식스","와이드 러닝화 브랜드별 핏 차이 비교",91,unique,clear
8,pass,발볼,blog,문제해결,발볼 통증,"러닝화 끼임|발등|물집|사이즈","러닝화 발볼 통증, 신발 문제인지 확인법",92,unique,clear
9,pass,평발,blog,정보탐색,평발 러닝화,"안정화|과내전|아치|인솔","평발 러닝화 선택 기준, 안정화가 전부일까",91,unique,clear
10,pass,평발,blog,문제해결,과내전 러닝화,"발목 꺾임|무릎 통증|지지력","과내전 러닝화 고르는 법, 뒤꿈치 안정성",90,unique,clear
11,pass,평발,blog,의사결정,평발 인솔,"러닝화|아치 서포트|통증|교정","평발 러너, 인솔과 안정화 중 무엇이 먼저일까",90,unique,clear
12,pass,평발,blog,정보탐색,안정화 러닝화,"데일리|장거리|초보|발목","안정화 러닝화가 필요한 발 모양 체크",89,unique,clear
13,pass,요족,blog,정보탐색,요족 러닝화,"높은 아치|쿠션|충격흡수|발바닥","요족 러닝화 기준, 쿠션만 보면 안 되는 이유",91,unique,clear
14,pass,요족,blog,문제해결,높은 아치 통증,"발바닥|발목|종아리|러닝화","높은 아치 통증 러너의 신발 선택 순서",90,unique,clear
15,pass,요족,blog,의사결정,요족 인솔,"쿠션화|중립화|아치|착화감","요족 러너, 쿠션화와 인솔 조합 기준",89,unique,clear
16,pass,요족,blog,정보탐색,중립 러닝화,"요족|과외전|쿠셔닝|안정성","요족은 왜 중립 러닝화를 많이 고를까",88,unique,clear
17,pass,무릎 통증,blog,문제해결,무릎 통증 러닝화,"쿠션|힐드롭|안정성|착지","무릎 통증 러닝화, 힐드롭부터 확인하세요",93,unique,clear
18,pass,무릎 통증,blog,정보탐색,러닝 무릎 통증,"과사용|착지|신발|회복","러닝 후 무릎 통증, 신발 교체 신호일까",91,unique,clear
19,pass,무릎 통증,blog,의사결정,무릎 보호 러닝화,"맥시쿠션|안정화|장거리|초보","무릎 보호 러닝화, 쿠션화와 안정화 비교",90,unique,clear
20,pass,무릎 통증,blog,문제해결,내리막 무릎 통증,"충격|착지|쿠셔닝|트레이닝","내리막 러닝 무릎 통증 줄이는 신발 기준",89,unique,clear
21,pass,족저근막염,blog,문제해결,족저근막염 러닝화,"아치|쿠션|뒤꿈치|회복","족저근막염 러닝화, 뒤꿈치 지지력 기준",92,unique,clear
22,pass,족저근막염,blog,정보탐색,발바닥 통증 러닝화,"아침 통증|쿠션|인솔|착지","발바닥 통증 러너가 피해야 할 러닝화",91,unique,clear
23,pass,족저근막염,blog,의사결정,족저근막염 인솔,"러닝화|아치|통증|병행","족저근막염, 러닝화와 인솔 선택 순서",90,unique,clear
24,pass,족저근막염,blog,문제해결,뒤꿈치 통증,"러닝화|쿠션|힐컵|회복주","뒤꿈치 통증 있을 때 러닝화 체크포인트",89,unique,clear
25,pass,러닝 입문,blog,정보탐색,러닝 입문,"첫 달리기|신발|거리|부상예방","러닝 입문 첫 4주, 신발보다 중요한 준비",91,unique,clear
26,pass,러닝 입문,blog,실행,초보 러너,"5km|페이스|걷뛰|훈련","초보 러너 5km 준비, 걷뛰 루틴 기준",90,unique,clear
27,pass,러닝 입문,blog,문제해결,러닝 초보 실수,"과훈련|신발|통증|휴식","러닝 초보가 첫 달에 자주 놓치는 신호",89,unique,clear
28,pass,러닝 입문,blog,의사결정,첫 러닝화,"예산|쿠션|안정성|매장피팅","첫 러닝화 예산별 선택 기준과 타협점",90,unique,clear
29,pass,마라톤,blog,실행,마라톤 훈련,"장거리주|페이스|회복|신발","마라톤 훈련화와 대회화, 언제 나눌까",90,unique,clear
30,pass,마라톤,blog,의사결정,마라톤 러닝화,"카본화|쿠션화|기록|완주","첫 마라톤 러닝화, 카본화가 필요할까",91,unique,clear
31,pass,마라톤,blog,실행,하프마라톤 준비,"신발|페이스|장거리|보급","하프마라톤 준비 신발, 10km와 다른 점",89,unique,clear
32,pass,마라톤,blog,문제해결,장거리 러닝화,"발 피로|물집|쿠션|사이즈","장거리 러닝화 선택, 물집 줄이는 기준",90,unique,clear
33,pass,훈련,blog,정보탐색,러닝 훈련,"조깅|템포런|인터벌|회복주","러닝 훈련 종류별 신발을 바꿔야 할까",91,unique,clear
34,pass,훈련,blog,실행,인터벌 러닝화,"반발력|경량화|트랙|페이스","인터벌 러닝화 기준, 가벼움보다 중요한 것",90,unique,clear
35,pass,훈련,blog,실행,회복주 러닝화,"쿠션|저강도|피로회복|조깅","회복주 러닝화는 왜 부드러운 신발이 좋을까",89,unique,clear
36,pass,훈련,blog,문제해결,러닝 부상 예방,"신발 교체|거리 증가|휴식|통증","러닝 부상 예방, 신발보다 먼저 볼 훈련량",92,unique,clear
37,pass,브랜드 비교,blog,의사결정,나이키 아식스 비교,"쿠션|안정성|레이싱화|데일리","나이키 vs 아식스, 러너 유형별 선택 기준",91,unique,clear
38,pass,브랜드 비교,blog,의사결정,호카 뉴발란스 비교,"쿠션화|발볼|장거리|데일리","호카 vs 뉴발란스, 쿠션화 핏 차이",90,unique,clear
39,pass,브랜드 비교,blog,의사결정,아디다스 사코니 비교,"반발력|템포런|내구성|가격","아디다스 vs 사코니, 훈련화 성향 비교",89,unique,clear
40,pass,브랜드 비교,blog,의사결정,브룩스 아식스 비교,"안정화|평발|쿠션|내구성","브룩스 vs 아식스, 안정화 러닝화 비교",89,unique,clear
41,pass,브랜드 비교,blog,정보탐색,러닝화 브랜드,"발볼|쿠션|안정화|레이싱","러닝화 브랜드별 강점, 내 발에 맞는 선택",90,unique,clear
42,pass,발볼,blog,문제해결,발볼 넓은 러닝화,"2E|4E|발등|압박","발볼 넓은 러너가 피해야 할 끈 조임 습관",92,unique,clear
43,pass,발볼,blog,정보탐색,러닝화 발볼,"D|2E|4E|사이즈","러닝화 발볼 D·2E·4E 차이, 언제 바꿀까",94,unique,clear
44,pass,발볼,blog,의사결정,나이키 발볼,"좁은 발볼|대체 브랜드|압박","나이키가 조일 때 갈아탈 브랜드 기준",89,unique,clear
45,pass,발볼,blog,문제해결,새끼발가락 통증,"발볼|토박스|물집","새끼발가락이 쓸릴 때 러닝화 확인 순서",91,unique,clear
46,pass,발볼,blog,정보탐색,발등 높은 러닝화,"끈 묶기|어퍼|압박","발등 높은 러너의 러닝화 피팅 체크법",90,unique,clear
47,pass,아치,blog,정보탐색,아치 타입,"정상아치|평발|요족","젖은 발자국으로 아치 타입 보는 법",91,unique,clear
48,pass,아치,blog,의사결정,아치 서포트,"인솔|안정화|뉴트럴","아치 서포트 있는 러닝화가 필요한 경우",89,unique,clear
49,pass,아치,blog,문제해결,아치 통증,"발바닥 안쪽|인솔|과내전","발 안쪽 아치가 아플 때 신발 점검법",90,unique,clear
50,pass,아치,blog,정보탐색,요족 러닝화,"높은 아치|쿠셔닝|충격","높은 아치 러너가 낮은 쿠션을 피할 때",88,unique,clear
51,pass,통증,blog,문제해결,뒤꿈치 통증 러닝화,"힐컵|드롭|쿠셔닝","뒤꿈치 통증 러너의 힐컵·드롭 확인법",91,unique,clear
52,pass,통증,blog,문제해결,발목 통증 러닝화,"안정성|접지|흔들림","발목이 흔들릴 때 러닝화 안정성 보는 법",90,unique,clear
53,pass,통증,blog,문제해결,종아리 통증,"힐드롭|제로드롭|전환","종아리 당김이 심할 때 힐드롭 조정법",90,unique,clear
54,pass,통증,blog,문제해결,발바닥 열감,"통기성|양말|인솔","달릴 때 발바닥이 뜨거운 이유와 신발 선택",89,unique,clear
55,pass,통증,blog,정보탐색,물집 러닝화,"뒤꿈치|양말|길들이기","뒤꿈치 물집이 반복될 때 신발 원인 찾기",90,unique,clear
56,pass,브랜드 비교,blog,의사결정,뉴발란스 브룩스,"4E|안정화|쿠셔닝","뉴발란스 4E와 브룩스 4E 착화감 차이",90,unique,clear
57,pass,브랜드 비교,blog,의사결정,아식스 브룩스,"안정화|과내전|지지력","아식스 안정화와 브룩스 GTS 차이",89,unique,clear
58,pass,브랜드 비교,blog,의사결정,호카 뉴발란스,"맥스쿠션|체중|발볼","호카 본디와 뉴발 모어, 무거운 러너 기준",90,unique,clear
59,pass,브랜드 비교,blog,의사결정,온러닝 러닝화,"클라우드|발볼|일상화","온러닝은 러닝용일까, 일상 겸용 기준",88,unique,clear
60,pass,브랜드 비교,blog,의사결정,미즈노 아식스,"웨이브|젤|단단한 쿠션","미즈노 웨이브와 아식스 젤 쿠션 차이",88,unique,clear
61,pass,도구 사용법,blog,실행,러닝화 진단,"발볼|아치|통증|추천","무료 발 진단 결과를 신발 고를 때 쓰는 법",91,unique,clear
62,pass,도구 사용법,blog,실행,페이스 계산기,"훈련화|대회화|목표 페이스","페이스 계산기로 훈련화·대회화 나누는 법",89,unique,clear
63,pass,도구 사용법,blog,실행,사이즈 변환기,"KR|US|EU|브랜드","해외 직구 전 사이즈 변환기 확인 순서",90,unique,clear
64,pass,도구 사용법,blog,실행,완주 시간 예측기,"마라톤|대회화|목표 기록","완주 시간 예측 후 대회화 고르는 기준",89,unique,clear
65,pass,도구 사용법,blog,정보탐색,심박수 구간,"조깅화|템포화|훈련 강도","심박수 구간별 러닝화 구분이 필요할까",88,unique,clear
66,pass,교체 시기,blog,정보탐색,러닝화 마모,"아웃솔|미드솔|편마모","아웃솔은 멀쩡한데 교체해야 하는 신호",91,unique,clear
67,pass,교체 시기,blog,문제해결,쿠션 꺼짐,"미드솔|무릎|피로감","쿠션이 죽은 러닝화, 몸이 보내는 신호",91,unique,clear
68,pass,교체 시기,blog,정보탐색,러닝화 수명,"체중|주행거리|노면","체중과 노면에 따른 러닝화 수명 차이",89,unique,clear
69,pass,교체 시기,blog,의사결정,러닝화 로테이션,"두 켤레|수명|회복","러닝화 두 켤레를 번갈아 신는 기준",90,unique,clear
70,pass,교체 시기,blog,문제해결,편마모 러닝화,"과내전|착지|교체","한쪽만 닳는 러닝화, 교체보다 먼저 볼 것",91,unique,clear
71,pass,대회 준비,blog,실행,10km 대회 러닝화,"첫 대회|훈련화|쿠션","첫 10km 대회 전 러닝화 점검표",90,unique,clear
72,pass,대회 준비,blog,실행,하프마라톤 러닝화,"장거리|물집|길들이기","하프마라톤 4주 전 러닝화 준비 순서",90,unique,clear
73,pass,대회 준비,blog,실행,마라톤 대회화,"카본화|길들이기|기록","카본화 처음 신는 마라톤 러너의 적응법",89,unique,clear
74,pass,대회 준비,blog,정보탐색,대회 당일 신발,"양말|끈|물집|예비화","대회 당일 러닝화 끈과 양말 체크리스트",91,unique,clear
75,pass,대회 준비,blog,의사결정,우천 대회 러닝화,"접지|방수|양말","비 오는 대회에서 방수 러닝화를 신어야 할까",88,unique,clear
76,pass,러닝화 선택,blog,정보탐색,러닝화 선택 기준,"발볼|아치|쿠셔닝|안정성","러닝화 선택 기준, 발볼·아치·쿠셔닝 보는 법",92,unique,clear
77,pass,러닝화 선택,blog,의사결정,초보 러닝화 추천,"입문자|첫 러닝화|안정성","초보 러닝화 고르는 법, 첫 구매 전 확인할 것",89,unique,clear
78,pass,러닝화 선택,blog,정보탐색,러닝화 쿠셔닝,"쿠션화|안정화|반발력","쿠션 좋은 러닝화가 항상 편한 건 아닌 이유",91,unique,clear
79,pass,러닝화 선택,blog,의사결정,안정화 러닝화,"평발|과내전|지지력","안정화 러닝화가 필요한 사람과 피해야 할 사람",90,unique,clear
80,pass,통증 예방,blog,문제해결,무릎 통증 러닝화,"쿠셔닝|드롭|훈련량","무릎 통증 러닝화, 신발보다 먼저 볼 3가지",94,unique,clear
81,pass,통증 예방,blog,문제해결,족저근막염 러닝화,"아치|쿠션|회복주","족저근막염 러닝화 선택 전 확인할 기준",90,unique,clear
82,pass,통증 예방,blog,정보탐색,정강이 통증 러닝화,"신스프린트|드롭|착지","정강이 통증이 잦을 때 러닝화 점검법",90,unique,clear
83,pass,통증 예방,blog,문제해결,발목 통증 러닝화,"안정성|뒤꿈치|접지","발목 통증 러너가 러닝화에서 봐야 할 요소",89,unique,clear
84,pass,통증 예방,blog,정보탐색,러닝 부상 예방,"회복|훈련량|신발 교체","러닝 부상 예방, 러닝화와 훈련량 함께 보는 법",91,unique,clear
85,pass,계절 지형,blog,정보탐색,여름 러닝화,"통기성|땀|갑피","여름 러닝화 선택 기준, 통기성과 쿠션 균형",90,unique,clear
86,pass,계절 지형,blog,정보탐색,겨울 러닝화,"접지력|보온|젖은 노면","겨울 러닝화 고를 때 접지력 먼저 보는 이유",89,unique,clear
87,pass,계절 지형,blog,의사결정,로드 러닝화,"아스팔트|쿠션|내구성","로드 러닝화 선택법, 아스팔트용 기준 정리",89,unique,clear
88,pass,계절 지형,blog,의사결정,트레일 러닝화,"접지|방수|돌길","트레일 러닝화와 로드화 차이, 어디서 갈리나",90,unique,clear
89,pass,계절 지형,blog,문제해결,비 오는 날 러닝화,"젖은 노면|접지|건조","비 오는 날 러닝화, 미끄럼과 건조성 체크법",89,unique,clear
90,pass,사이즈,blog,정보탐색,러닝화 사이즈,"5mm 업|발볼|발등","러닝화 사이즈, 평소 신발보다 크게 신어야 할까",91,unique,clear
91,pass,사이즈,blog,정보탐색,러닝화 발등,"갑피|끈 묶기|압박","발등 높은 사람의 러닝화 사이즈 확인법",89,unique,clear
92,pass,사이즈,blog,문제해결,러닝화 물집,"사이즈|양말|뒤꿈치","러닝화 물집 원인, 사이즈와 끈부터 점검하기",90,unique,clear
93,pass,사이즈,blog,의사결정,러닝화 사이즈 변환,"KR|US|EU|UK","러닝화 사이즈 변환, KR·US·EU 차이 정리",89,unique,clear
94,pass,초보 루틴,blog,정보탐색,초보 러닝 루틴,"걷뛰|주 3회|회복","초보 러닝 루틴, 주 3회 걷뛰기 시작법",91,unique,clear
95,pass,초보 루틴,blog,문제해결,러닝 초보 실수,"과훈련|통증|페이스","러닝 초보가 자주 다치는 이유와 줄이는 법",90,unique,clear
96,pass,초보 루틴,blog,정보탐색,5km 러닝 루틴,"첫 5km|페이스|거리","첫 5km 러닝 루틴, 무리 없이 거리 늘리는 법",90,unique,clear
97,pass,초보 루틴,blog,문제해결,러닝 페이스 조절,"숨참|천천히 달리기|회복","초보 러너 페이스 조절, 숨차지 않게 뛰는 법",91,unique,clear
98,pass,훈련 계산기,blog,실행,러닝 페이스 계산기,"5K|10K|완주 시간","러닝 페이스 계산기 사용법, 목표 기록 맞추기",90,unique,clear
99,pass,훈련 계산기,blog,정보탐색,심박수 구간,"Z2|유산소|회복주","심박수 구간 계산, 초보 러너가 Z2를 보는 이유",90,unique,clear
100,pass,구매 전 점검,blog,의사결정,러닝화 체크리스트,"매장 피팅|착화감|반품","러닝화 구매 전 체크리스트, 매장에서 볼 것",92,unique,clear
